epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
45,1921.06,1.02229,0.42826,0.76984,0.91008,0.69994,0.7688,0.52621,0.96257,0.39409,0.76436,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,1962.87,1.02253,0.42655,0.76854,0.91172,0.69882,0.76892,0.52653,0.96243,0.39226,0.76404,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2004.63,1.01438,0.42529,0.77004,0.91434,0.69975,0.76999,0.52798,0.96113,0.391,0.76424,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2046.46,1.01561,0.42328,0.76926,0.91396,0.69857,0.77106,0.52662,0.95658,0.38931,0.76368,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2088.42,1.01783,0.42366,0.76878,0.90956,0.70135,0.76986,0.52797,0.95574,0.38781,0.76373,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,2130.16,1.01564,0.4227,0.76807,0.91275,0.70057,0.77058,0.52886,0.95569,0.38599,0.76338,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,2172.37,1.01146,0.42114,0.76822,0.92377,0.69898,0.7725,0.52971,0.95663,0.3869,0.76341,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,2213.84,1.00511,0.41922,0.76938,0.9177,0.69982,0.77226,0.53075,0.95277,0.3852,0.76336,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,2255.47,1.00461,0.41875,0.7679,0.91492,0.702,0.77271,0.53051,0.95306,0.38603,0.7632,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,2297.15,1.00068,0.4176,0.76904,0.91046,0.7054,0.77298,0.53165,0.9541,0.38429,0.76337,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
